	Mafric	Mavium	Mbovis	Mlepra	Mmicro
Mafric	0.0	113.0	26.0	90.0	32.0
Mavium	996.0	0.0	990.0	382.0	1004.0
Mbovis	82.0	144.0	0.0	115.0	87.0
Mlepra	18.0	16.0	12.0	0.0	10.0
Mmicro	106.0	168.0	100.0	120.0	0.0
