	Mafric	Mavium	Mbovis	Mlepra	Mmicro
Mafric	3539	2536	3472	1398	3442
Mavium	2536	2743	2554	1391	2568
Mbovis	3472	2554	3616	1396	3523
Mlepra	1398	1391	1396	1460	1397
Mmicro	3442	2568	3523	1397	3601
