	Mafric	Mavium	Mbovis	Mlepra	Mmicro
Mafric	0.0	14.0	3.0	18.0	11.0
Mavium	17.0	0.0	27.0	8.0	30.0
Mbovis	2.0	25.0	0.0	16.0	11.0
Mlepra	8.0	4.0	10.0	0.0	12.0
Mmicro	12.0	27.0	16.0	18.0	0.0
