	Mafric	Mavium	Mbovis	Mlepra	Mmicro
Mafric	0.0	339.0	32.0	9.0	48.0
Mavium	43.0	0.0	55.0	8.0	65.0
Mbovis	12.0	330.0	0.0	6.0	48.0
Mlepra	40.0	135.0	47.0	0.0	52.0
Mmicro	14.0	339.0	34.0	5.0	0.0
