	Mafric	Mavium	Mbovis	Mlepra	Mmicro
Mafric	0.0	2208.0	3619.0	1364.0	3581.0
Mavium	2208.0	0.0	2215.0	1255.0	2224.0
Mbovis	3619.0	2215.0	0.0	1356.0	3638.0
Mlepra	1364.0	1255.0	1356.0	0.0	1353.0
Mmicro	3581.0	2224.0	3638.0	1353.0	0.0
