	Mafric	Mavium	Mbovis	Mlepra	Mmicro
Mafric	0.0	2674.0	3680.0	1481.0	3672.0
Mavium	3264.0	0.0	3287.0	1653.0	3323.0
Mbovis	3715.0	2714.0	0.0	1493.0	3784.0
Mlepra	1430.0	1410.0	1425.0	0.0	1427.0
Mmicro	3713.0	2758.0	3788.0	1496.0	0.0
