CP013741.1	AL450380.1	79.847	18881	3430	233	3201575	3220255	2812625	2793920	0.0	13441
CP013741.1	AL450380.1	86.359	7844	1025	39	761191	769009	2277093	2269270	0.0	8516
CP013741.1	AL450380.1	94.669	4990	189	39	1471546	1476493	1341143	1346097	0.0	7670
CP013741.1	AL450380.1	80.748	9282	1712	55	2796992	2806225	1405852	1396598	0.0	7171
CP013741.1	AL450380.1	81.375	8510	1463	89	3238749	3247195	188453	180003	0.0	6822
CP013741.1	AL450380.1	84.414	6416	925	46	3223439	3229819	200535	194160	0.0	6239
CP013741.1	AL450380.1	81.563	6579	1178	31	4298349	4304905	84030	77465	0.0	5397
CP013741.1	AL450380.1	79.593	7811	1359	145	3286668	3294344	2024662	2032371	0.0	5376
CP013741.1	AL450380.1	78.164	7419	1488	101	343504	350834	3023864	3016490	0.0	4604
CP013741.1	AL450380.1	81.090	5727	1037	33	2001015	2006727	1867909	1862215	0.0	4534
CP013741.1	AL450380.1	80.655	5893	1062	63	2461083	2466926	1959885	1965748	0.0	4495
CP013741.1	AL450380.1	79.362	5955	1103	76	4052226	4058090	271975	266057	0.0	4072
CP013741.1	AL450380.1	82.395	4584	766	33	3811825	3816388	485172	480610	0.0	3956
CP013741.1	AL450380.1	77.868	6520	1323	86	1777962	1784434	1502246	1508692	0.0	3936
CP013741.1	AL450380.1	79.432	5528	1016	92	616481	621934	2885521	2880041	0.0	3797
CP013741.1	AL450380.1	86.118	3436	459	14	1392261	1395690	1260024	1263447	0.0	3687
CP013741.1	AL450380.1	78.864	5564	1057	80	2703014	2708509	1767602	1773114	0.0	3650
CP013741.1	AL450380.1	81.314	4474	765	44	3334559	3338990	2064072	2068516	0.0	3565
CP013741.1	AL450380.1	85.668	3398	465	13	957200	960593	2572543	2569164	0.0	3557
CP013741.1	AL450380.1	82.407	4047	624	60	3358726	3362741	2093472	2097461	0.0	3448
CP013741.1	AL450380.1	77.504	5921	1179	97	2734680	2740519	1496727	1490879	0.0	3413
CP013741.1	AL450380.1	79.762	4783	898	45	1647087	1651844	720590	725327	0.0	3406
CP013741.1	AL450380.1	80.740	4434	758	65	601198	605586	2899216	2894834	0.0	3369
CP013741.1	AL450380.1	82.338	3901	648	27	1591953	1595827	678806	682691	0.0	3349
CP013741.1	AL450380.1	85.439	3221	452	16	3563557	3566768	924234	921022	0.0	3334
CP013741.1	AL450380.1	81.706	4034	687	38	1732767	1736782	1422548	1426548	0.0	3314
CP013741.1	AL450380.1	79.565	4644	840	70	496219	500786	388919	384309	0.0	3217
CP013741.1	AL450380.1	79.418	4606	884	47	125810	130389	3209499	3204932	0.0	3195
CP013741.1	AL450380.1	80.825	4073	727	42	1848396	1852446	1692183	1696223	0.0	3145
CP013741.1	AL450380.1	81.481	3796	691	11	1447747	1451536	1318301	1322090	0.0	3105
CP013741.1	AL450380.1	79.254	4531	854	68	4017742	4022222	305702	301208	0.0	3081
CP013741.1	AL450380.1	80.167	4180	761	48	2048041	2052184	2476916	2472769	0.0	3064
CP013741.1	AL450380.1	80.800	3948	716	35	4225751	4229680	130593	126670	0.0	3053
CP013741.1	AL450380.1	82.044	3620	587	40	1562806	1566381	657332	660932	0.0	3025
CP013741.1	AL450380.1	83.369	3289	505	32	783024	786277	2260372	2257091	0.0	3005
CP013741.1	AL450380.1	76.927	5435	1161	67	1581095	1586482	670034	675422	0.0	3003
CP013741.1	AL450380.1	79.310	4403	791	74	2454396	2458713	1024044	1019677	0.0	2974
CP013741.1	AL450380.1	81.826	3593	605	33	2355575	2359125	1560467	1556881	0.0	2974
CP013741.1	AL450380.1	87.233	2577	326	3	4014915	4017489	308549	305974	0.0	2933
CP013741.1	AL450380.1	80.436	3854	716	26	1555437	1559262	649623	653466	0.0	2905
CP013741.1	AL450380.1	83.243	3145	517	9	3801815	3804956	489443	486306	0.0	2880
CP013741.1	AL450380.1	78.084	4718	908	76	3590415	3595059	896575	891911	0.0	2868
CP013741.1	AL450380.1	83.285	3135	477	41	3349420	3352520	2083348	2086469	0.0	2843
CP013741.1	AL450380.1	81.259	3591	598	45	1141073	1144626	328050	331602	0.0	2833
CP013741.1	AL450380.1	85.462	2717	389	6	2491166	2493878	1996150	1998864	0.0	2824
CP013741.1	AL450380.1	81.441	3497	590	42	4119394	4122843	2750464	2753948	0.0	2808
CP013741.1	AL450380.1	84.212	2901	434	18	1822160	1825051	1668308	1671193	0.0	2798
CP013741.1	AL450380.1	79.415	4032	774	39	17680	21683	21105	25108	0.0	2796
CP013741.1	AL450380.1	77.763	4659	938	68	2414999	2419593	1059895	1055271	0.0	2774
CP013741.1	AL450380.1	81.395	3440	599	33	2664749	2668161	740055	736630	0.0	2769
CP013741.1	AL450380.1	78.458	4294	848	53	1380531	1384766	1248424	1252698	0.0	2734
CP013741.1	AL450380.1	78.312	4385	845	62	3196512	3200844	2817725	2813395	0.0	2732
CP013741.1	AL450380.1	78.457	4289	840	62	1772455	1776693	1445954	1450208	0.0	2724
CP013741.1	AL450380.1	77.123	4817	1003	70	1886004	1890766	1606100	1610871	0.0	2699
CP013741.1	AL450380.1	80.586	3513	624	35	1660916	1664396	2198533	2195047	0.0	2656
CP013741.1	AL450380.1	78.627	4094	765	76	3610390	3614440	870919	866893	0.0	2612
CP013741.1	AL450380.1	83.410	2827	448	11	2484143	2486953	1989140	1991961	0.0	2603
CP013741.1	AL450380.1	83.773	2730	404	19	2488391	2491086	1993404	1996128	0.0	2551
CP013741.1	AL450380.1	75.779	5330	1127	113	738437	743674	2287523	2282266	0.0	2540
CP013741.1	AL450380.1	77.812	4169	869	37	281049	285180	3069737	3065588	0.0	2523
CP013741.1	AL450380.1	84.606	2566	354	26	3691880	3694432	836411	833874	0.0	2512
CP013741.1	AL450380.1	80.977	3254	546	41	1464597	1467823	1335152	1338359	0.0	2512
CP013741.1	AL450380.1	80.349	3379	606	38	2720776	2724126	1782209	1785557	0.0	2508
CP013741.1	AL450380.1	78.651	3855	735	68	183837	187637	3154325	3150505	0.0	2479
CP013741.1	AL450380.1	85.338	2394	334	13	2865360	2867749	597956	595576	0.0	2460
CP013741.1	AL450380.1	80.187	3316	609	35	3674568	3677850	853693	850393	0.0	2440
CP013741.1	AL450380.1	80.187	3316	609	35	3653864	3657146	853693	850393	0.0	2440
CP013741.1	AL450380.1	80.187	3316	609	35	3633160	3636442	853693	850393	0.0	2440
CP013741.1	AL450380.1	82.604	2788	452	22	2328481	2331254	1582519	1579751	0.0	2431
CP013741.1	AL450380.1	82.880	2722	448	14	2430185	2432900	1045900	1043191	0.0	2429
CP013741.1	AL450380.1	78.285	3919	747	65	592532	596391	2904859	2900986	0.0	2427
CP013741.1	AL450380.1	82.488	2741	459	18	3505987	3508718	779885	777157	0.0	2383
CP013741.1	AL450380.1	77.537	4198	783	110	2323435	2327516	1587731	1583578	0.0	2381
CP013741.1	AL450380.1	78.899	3597	693	46	1916522	1920095	1629703	1633256	0.0	2377
CP013741.1	AL450380.1	80.217	3225	579	41	1844016	1847195	1687628	1690838	0.0	2366
CP013741.1	AL450380.1	81.452	2906	510	26	2811807	2814694	637495	634601	0.0	2353
CP013741.1	AL450380.1	82.821	2637	442	9	460597	463226	2963219	2965851	0.0	2350
CP013741.1	AL450380.1	77.180	4198	837	76	2383729	2387874	1085999	1081871	0.0	2333
CP013741.1	AL450380.1	77.452	4027	824	57	2017831	2021814	1855726	1851741	0.0	2329
CP013741.1	AL450380.1	82.883	2629	409	26	3091721	3094308	1879726	1882354	0.0	2324
CP013741.1	AL450380.1	78.338	3707	719	58	1763068	1766721	1438578	1442253	0.0	2320
CP013741.1	AL450380.1	80.622	3055	536	26	2610164	2613183	759806	756773	0.0	2311
CP013741.1	AL450380.1	79.042	3464	650	52	2379199	2382632	1090687	1087270	0.0	2305
CP013741.1	AL450380.1	81.020	2940	518	26	3316367	3319286	2052000	2054919	0.0	2302
CP013741.1	AL450380.1	78.337	3619	738	37	1837092	1840684	1680982	1684580	0.0	2298
CP013741.1	AL450380.1	82.471	2687	410	43	4222973	4225630	133416	130762	0.0	2296
CP013741.1	AL450380.1	80.366	3061	571	23	1611290	1614329	694879	697930	0.0	2296
CP013741.1	AL450380.1	76.168	4582	950	103	1756928	1761428	1432240	1436760	0.0	2281
CP013741.1	AL450380.1	83.723	2439	370	19	1229230	1231661	2335023	2332605	0.0	2279
CP013741.1	AL450380.1	85.789	2111	293	6	4027649	4029753	295693	293584	0.0	2230
CP013741.1	AL450380.1	85.120	2164	320	2	1815457	1817619	1661599	1663761	0.0	2211
CP013741.1	AL450380.1	79.359	3246	588	56	2830830	2834021	625362	622145	0.0	2207
CP013741.1	AL450380.1	86.945	1961	242	11	4229721	4231670	126530	124573	0.0	2191
CP013741.1	AL450380.1	82.665	2544	371	32	3036906	3039424	1016060	1013562	0.0	2191
CP013741.1	AL450380.1	80.246	2921	528	35	1551421	1554307	645416	648321	0.0	2152
CP013741.1	AL450380.1	77.499	3662	768	44	3181285	3184921	1954851	1958481	0.0	2146
CP013741.1	AL450380.1	83.658	2307	334	30	801854	804124	2244235	2241936	0.0	2132
CP013741.1	AL450380.1	81.090	2697	481	19	826523	829205	2222090	2219409	0.0	2128
CP013741.1	AL450380.1	81.642	2582	447	13	3451538	3454096	798625	796048	0.0	2117
CP013741.1	AL450380.1	81.549	2596	448	26	1137621	1140194	323458	326044	0.0	2111
CP013741.1	AL450380.1	80.959	2689	480	19	3011041	3013715	1822935	1825605	0.0	2100
CP013741.1	AL450380.1	85.227	2051	290	10	1006645	1008685	2526178	2524131	0.0	2097
CP013741.1	AL450380.1	80.672	2737	495	24	1811944	1814659	1652684	1655407	0.0	2093
CP013741.1	AL450380.1	78.671	3235	626	47	652693	655890	2698909	2702116	0.0	2093
CP013741.1	AL450380.1	79.986	2858	539	29	3220424	3223262	2793754	2790911	0.0	2078
CP013741.1	AL450380.1	76.696	3892	799	74	4034062	4037881	286279	282424	0.0	2063
CP013741.1	AL450380.1	81.120	2590	475	11	1305892	1308474	1800205	1797623	0.0	2061
CP013741.1	AL450380.1	82.084	2428	422	8	4092856	4095278	2732172	2734591	0.0	2061
CP013741.1	AL450380.1	76.734	3834	795	67	1896081	1899849	1617823	1621624	0.0	2049
CP013741.1	AL450380.1	78.840	3086	600	39	43388	46447	36177	39235	0.0	2032
CP013741.1	AL450380.1	79.950	2798	532	25	2059165	2061940	2466216	2463426	0.0	2032
CP013741.1	AL450380.1	80.578	2698	457	48	814718	817371	2231655	2228981	0.0	2017
CP013741.1	AL450380.1	81.082	2569	432	36	508929	511464	379938	377391	0.0	2002
CP013741.1	AL450380.1	80.361	2658	494	22	1809150	1811784	1650915	1648263	0.0	1991
CP013741.1	AL450380.1	85.692	1894	262	8	2347569	2349458	1570074	1568186	0.0	1988
CP013741.1	AL450380.1	82.444	2267	392	6	897887	900150	2629211	2626948	0.0	1977
CP013741.1	AL450380.1	77.565	3392	682	59	14155	17501	17544	20901	0.0	1975
CP013741.1	AL450380.1	79.444	2841	539	35	2934392	2937204	1598268	1595445	0.0	1969
CP013741.1	AL450380.1	79.312	2876	543	42	4235580	4238420	120728	117870	0.0	1967
CP013741.1	AL450380.1	80.142	2679	483	35	2055102	2057758	2470004	2467353	0.0	1954
CP013741.1	AL450380.1	79.853	2730	500	36	4195135	4197832	156396	153685	0.0	1949
CP013741.1	AL450380.1	80.939	2534	421	40	4204035	4206522	151872	149355	0.0	1947
CP013741.1	AL450380.1	75.305	4341	922	97	1489849	1494096	1355252	1359535	0.0	1940
