Orthogroup	Mmicro	Mlepra
OG0000163	AMC61080.1	CAC30212.1
OG0000164	AMC61083.1	CAC30209.1
OG0000165	AMC61085.1	CAC31129.1
OG0000166	AMC61086.1	CAC30208.1
OG0000167	AMC61087.1	CAC30207.1
OG0000171	AMC61129.1	CAC30184.1
OG0000175	AMC61445.1	CAC29709.1
OG0000177	AMC61576.1	CAC30921.1
OG0000179	AMC61607.1	CAC29616.1
OG0000183	AMC57482.1	CAC29904.1, CAC32224.1
OG0000186	AMC57563.1	CAC32195.1
OG0000188	AMC57614.1	CAC32161.1, CAC29632.1
OG0000190	AMC57644.1	CAC32141.1
OG0000197	AMC57822.1	CAC32013.1
OG0000198	AMC57824.1	CAC32011.1
OG0000200	AMC57971.1	CAC31957.1
OG0000201	AMC57981.1, AMC57980.1	CAC31950.1
OG0000202	AMC57987.1	CAC31944.1
OG0000203	AMC57998.1, AMC57999.1	CAC31936.1
OG0000204	AMC58036.1	CAC31214.1
OG0000205	AMC58051.1	CAC31789.1
OG0000209	AMC58191.1	CAC30831.1
OG0000210	AMC58232.1, AMC58231.1	CAC30793.1
OG0000216	AMC58344.1	CAC31143.1
OG0000217	AMC58382.1	CAC31117.1
OG0000218	AMC58383.1	CAC31116.1
OG0000219	AMC58405.1	CAC31095.1
OG0000220	AMC58410.1	CAC31090.1
OG0000221	AMC58431.1	CAC31079.1
OG0000222	AMC58463.1	CAC31049.1
OG0000223	AMC58464.1	CAC31048.1
OG0000226	AMC58571.1	CAC29763.1
OG0000230	AMC58637.1	CAC31910.1
OG0000231	AMC58640.1	CAC31907.1
OG0000232	AMC58718.1	CAC30462.1
OG0000234	AMC58741.1	CAC30445.1
OG0000239	AMC58874.1	CAC31509.1
OG0000240	AMC58880.1	CAC31514.1
OG0000241	AMC58882.1	CAC31516.1
OG0000245	AMC59074.1	CAC31622.1
OG0000246	AMC59094.1	CAC30755.1
OG0000247	AMC59104.1	CAC30751.1
OG0000250	AMC59181.1	CAC31594.1
OG0000251	AMC59195.1	CAC31607.1
OG0000252	AMC59216.1	CAC31657.1
OG0000253	AMC59235.1	CAC31770.1
OG0000256	AMC59311.1	CAC31746.1
OG0000257	AMC59324.1	CAC31748.1
OG0000258	AMC59452.1	CAC31038.1
OG0000260	AMC59516.1	CAC30986.1
OG0000261	AMC59527.1	CAC30978.1
OG0000263	AMC59544.1	CAC30965.1
OG0000265	AMC59683.1	CAC30374.1
OG0000267	AMC59770.1, AMC59772.1, AMC59771.1	CAC31697.1
OG0000268	AMC59789.1	CAC31682.1
OG0000269	AMC59807.1	CAC31209.1, CAC31303.1
OG0000272	AMC59859.1	CAC31263.1
OG0000273	AMC59862.1, AMC59861.1	CAC31261.1
OG0000274	AMC59868.1	CAC31255.1
OG0000275	AMC59887.1	CAC31241.1
OG0000276	AMC59917.1	CAC30603.1
OG0000279	AMC60042.1	CAC30334.1
OG0000280	AMC60061.1	CAC30128.1
OG0000284	AMC60164.1	CAC31635.1
OG0000285	AMC60233.1	CAC30033.1
OG0000286	AMC60218.1	CAC29934.1
OG0000287	AMC60227.1	CAC31571.1
OG0000288	AMC60288.1	CAC30000.1
OG0000289	AMC60382.1	CAC31721.1
OG0000290	AMC60402.1	CAC30714.1
OG0000291	AMC60411.1	CAC31407.1
OG0000292	AMC60461.1	CAC31358.1
OG0000293	AMC60564.1	CAC30513.1
OG0000295	AMC60653.1	CAC31875.1
OG0000296	AMC60716.1	CAC30631.1
OG0000297	AMC60718.1, AMC60717.1	CAC30632.1
OG0000298	AMC60723.1	CAC30637.1
OG0000299	AMC60724.1	CAC30638.1
OG0000300	AMC60733.1	CAC30645.1
OG0000302	AMC60777.1	CAC30677.1, CAC32015.1
OG0000303	AMC60783.1	CAC30683.1
OG0000304	AMC60803.1	CAC30709.1
OG0000305	AMC60845.1	CAC30178.1
OG0000309	AMC60972.1	CAC30321.1
OG0000312	AMC61034.1, AMC61033.1	CAC30256.1
OG0000313	AMC61037.1	CAC31795.1
OG0000314	AMC61051.1	CAC30235.1
OG0000321	AMC61113.1, AMC61112.1	CAC30194.1
OG0000324	AMC61252.1	CAC30920.1
OG0000325	AMC61269.1	CAC31203.1
OG0000328	AMC61434.1	CAC29712.1
OG0000329	AMC61448.1	CAC29706.1
OG0000330	AMC61479.1	CAC31818.1
OG0000331	AMC61526.1	CAC31847.1
OG0000333	AMC61619.1	CAC29610.1
OG0000334	AMC61621.1, AMC61620.1	CAC29609.1
OG0000335	AMC61685.1	CAC29572.1, CAC31451.1
OG0000340	AMC60119.1	CAC30996.1
OG0000342	AMC57428.1	CAC29509.1
OG0000343	AMC57429.1	CAC29510.1
OG0000344	AMC57430.1	CAC29511.1
OG0000345	AMC57431.1	CAC29512.1
OG0000346	AMC57432.1	CAC29513.1
OG0000347	AMC57434.1	CAC29514.1
OG0000348	AMC57440.1	CAC29519.1
OG0000349	AMC57443.1	CAC29521.1
