Orthogroup	Mmicro	Mlepra
OG0000792	AMC58928.1	CAC31557.1
OG0000793	AMC58929.1	CAC31558.1
OG0000797	AMC58944.1	CAC30704.1
OG0000799	AMC58971.1	CAC30040.1
OG0000800	AMC58972.1	CAC30041.1
OG0000801	AMC58974.1	CAC30043.1
OG0000802	AMC58975.1	CAC30044.1
OG0000803	AMC58977.1	CAC30045.1
OG0000804	AMC58981.1	CAC30048.1
OG0000805	AMC58982.1	CAC30049.1
OG0000806	AMC58983.1	CAC30050.1
OG0000807	AMC58984.1	CAC30051.1
OG0000808	AMC58985.1	CAC30052.1
OG0000809	AMC58995.1	CAC30056.1
OG0000810	AMC58997.1	CAC30058.1
OG0000811	AMC58998.1	CAC30059.1
OG0000812	AMC58999.1	CAC30060.1
OG0000813	AMC59001.1	CAC30062.1
OG0000814	AMC59003.1	CAC30063.1
OG0000815	AMC59004.1	CAC30064.1
OG0000816	AMC59005.1	CAC30065.1
OG0000817	AMC59006.1	CAC30066.1
OG0000818	AMC59009.1	CAC30067.1
OG0000819	AMC59010.1	CAC30068.1
OG0000820	AMC59011.1	CAC30069.1
OG0000821	AMC59014.1	CAC30070.1
OG0000822	AMC59015.1	CAC30071.1
OG0000823	AMC59016.1	CAC30072.1
OG0000824	AMC59017.1	CAC30073.1
OG0000827	AMC59028.1	CAC30077.1
OG0000828	AMC59030.1	CAC30078.1
OG0000829	AMC59031.1	CAC30079.1
OG0000830	AMC59032.1	CAC30080.1
OG0000831	AMC59036.1	CAC30085.1
OG0000833	AMC59043.1	CAC30087.1
OG0000834	AMC59044.1	CAC30088.1
OG0000835	AMC59046.1	CAC30090.1
OG0000836	AMC59047.1	CAC30091.1
OG0000837	AMC59052.1	CAC30092.1
OG0000838	AMC59058.1	CAC30095.1
OG0000839	AMC59059.1	CAC30097.1
OG0000840	AMC59060.1	CAC30098.1
OG0000841	AMC59061.1	CAC30099.1
OG0000842	AMC59062.1	CAC30100.1
OG0000843	AMC59063.1	CAC30101.1
OG0000844	AMC59064.1	CAC30102.1
OG0000845	AMC59065.1	CAC30103.1
OG0000846	AMC59066.1	CAC30104.1
OG0000847	AMC59067.1	CAC30105.1
OG0000848	AMC59068.1	CAC30106.1
OG0000849	AMC59073.1	CAC30771.1
OG0000850	AMC59075.1	CAC30769.1
OG0000852	AMC59078.1	CAC30767.1
OG0000853	AMC59081.1	CAC30766.1
OG0000854	AMC59082.1	CAC30765.1
OG0000855	AMC59084.1	CAC30764.1
OG0000856	AMC59085.1	CAC30763.1
OG0000857	AMC59086.1	CAC30762.1
OG0000858	AMC59089.1	CAC30760.1
OG0000859	AMC59090.1	CAC30759.1
OG0000860	AMC59091.1	CAC30758.1
OG0000861	AMC59092.1	CAC30757.1
OG0000862	AMC59093.1	CAC30756.1
OG0000863	AMC59100.1	CAC30753.1
OG0000866	AMC59151.1	CAC31576.1
OG0000868	AMC59153.1	CAC31579.1
OG0000869	AMC59154.1	CAC31580.1
OG0000870	AMC59155.1	CAC31581.1
OG0000873	AMC59162.1	CAC31588.1
OG0000876	AMC59175.1	CAC31590.1
OG0000878	AMC59182.1	CAC31595.1
OG0000879	AMC59184.1	CAC31597.1
OG0000880	AMC59185.1	CAC31598.1
OG0000881	AMC59186.1	CAC31599.1
OG0000882	AMC59189.1	CAC31601.1
OG0000883	AMC59190.1	CAC31602.1
OG0000884	AMC59191.1	CAC31603.1
OG0000886	AMC59193.1	CAC31605.1
OG0000887	AMC59194.1	CAC31606.1
OG0000888	AMC59196.1	CAC31608.1
OG0000889	AMC59199.1	CAC31638.1
OG0000890	AMC59200.1	CAC31639.1
OG0000891	AMC59201.1	CAC31640.1
OG0000892	AMC59202.1	CAC31641.1
OG0000893	AMC59203.1	CAC31642.1
OG0000895	AMC59205.1	CAC31644.1
OG0000896	AMC59206.1	CAC31645.1
OG0000897	AMC59207.1	CAC31648.1
OG0000898	AMC59209.1	CAC31650.1
OG0000899	AMC59210.1	CAC31651.1
OG0000900	AMC59211.1	CAC31652.1
OG0000901	AMC59212.1	CAC31653.1
OG0000902	AMC59213.1	CAC31654.1
OG0000903	AMC59214.1	CAC31655.1
OG0000904	AMC59217.1	CAC31658.1
OG0000905	AMC59218.1	CAC31659.1
OG0000906	AMC59225.1	CAC31857.1
OG0000907	AMC59226.1	CAC31667.1
OG0000909	AMC59229.1	CAC31762.1
OG0000910	AMC59230.1	CAC31763.1
OG0000911	AMC59231.1	CAC31764.1
OG0000912	AMC59233.1	CAC31768.1
OG0000913	AMC59237.1	CAC31771.1
OG0000914	AMC59239.1	CAC31773.1
OG0000915	AMC59243.1	CAC31774.1
OG0000916	AMC59244.1	CAC31775.1
OG0000917	AMC59245.1	CAC31776.1
OG0000918	AMC59246.1	CAC31777.1
OG0000919	AMC59247.1	CAC31778.1
OG0000920	AMC59250.1	CAC31780.1
OG0000922	AMC59252.1	CAC30352.1
OG0000923	AMC59253.1	CAC30353.1
OG0000924	AMC59258.1	CAC30357.1
OG0000925	AMC59259.1	CAC30358.1
OG0000926	AMC59260.1	CAC30359.1
OG0000927	AMC59261.1	CAC30360.1
OG0000928	AMC59262.1	CAC30361.1
OG0000929	AMC59263.1	CAC30362.1
OG0000930	AMC59264.1	CAC30363.1
OG0000931	AMC59265.1	CAC30364.1
OG0000932	AMC59292.1	CAC31727.1
OG0000933	AMC59293.1	CAC31728.1
OG0000936	AMC59297.1	CAC31732.1
OG0000937	AMC59298.1	CAC31733.1
OG0000938	AMC59303.1	CAC31738.1
OG0000939	AMC59304.1	CAC31739.1
OG0000940	AMC59305.1	CAC31740.1
OG0000941	AMC59306.1	CAC31741.1
OG0000942	AMC59307.1	CAC31742.1
OG0000943	AMC59308.1	CAC31743.1
OG0000944	AMC59309.1	CAC31744.1
OG0000946	AMC59325.1	CAC31749.1
OG0000947	AMC59327.1	CAC31750.1
OG0000948	AMC59328.1	CAC31751.1
OG0000949	AMC59329.1	CAC31752.1
OG0000950	AMC59330.1	CAC31753.1
OG0000953	AMC59408.1	CAC31761.1
OG0000954	AMC59410.1	CAC30495.1
OG0000955	AMC59411.1	CAC30494.1
OG0000956	AMC59421.1	CAC30491.1
OG0000957	AMC59422.1	CAC30490.1
OG0000958	AMC59424.1	CAC30489.1
OG0000959	AMC59425.1	CAC30488.1
OG0000960	AMC59426.1	CAC30487.1
OG0000965	AMC59451.1	CAC31039.1
OG0000966	AMC59453.1	CAC31037.1
OG0000967	AMC59454.1	CAC31036.1
OG0000968	AMC59458.1	CAC31032.1
OG0000969	AMC59459.1	CAC31031.1
OG0000970	AMC59460.1	CAC31030.1
OG0000971	AMC59461.1	CAC31029.1
OG0000972	AMC59462.1	CAC31028.1
OG0000973	AMC59463.1	CAC31027.1
OG0000974	AMC59467.1	CAC31025.1
OG0000975	AMC59468.1	CAC31024.1
OG0000976	AMC59475.1	CAC31021.1
OG0000977	AMC59477.1	CAC31019.1
OG0000978	AMC59478.1	CAC31018.1
OG0000979	AMC59488.1	CAC31014.1
OG0000980	AMC59492.1	CAC31010.1
OG0000981	AMC59493.1	CAC31009.1
OG0000982	AMC59494.1	CAC31008.1
OG0000985	AMC59503.1	CAC31003.1
OG0000986	AMC59504.1	CAC31001.1
OG0000987	AMC59508.1	CAC30993.1
OG0000989	AMC59517.1	CAC30985.1
OG0000991	AMC59533.1	CAC30975.1
OG0000992	AMC59539.1	CAC30970.1
OG0000993	AMC59541.1	CAC30967.1
OG0000994	AMC59543.1	CAC30966.1
OG0000995	AMC59554.1	CAC30940.1
OG0000996	AMC59559.1	CAC30938.1
OG0000999	AMC59684.1	CAC30375.1
OG0001000	AMC59685.1	CAC30376.1
OG0001001	AMC59687.1	CAC30377.1
OG0001002	AMC59688.1	CAC30378.1
OG0001003	AMC59698.1	CAC30389.1
OG0001005	AMC59704.1	CAC30394.1
OG0001006	AMC59710.1	CAC29843.1
OG0001007	AMC59711.1	CAC30396.1
OG0001008	AMC59721.1	CAC30398.1
OG0001009	AMC59746.1	CAC31715.1
OG0001010	AMC59747.1	CAC31714.1
OG0001011	AMC59748.1	CAC31713.1
OG0001012	AMC59749.1	CAC31712.1
OG0001013	AMC59750.1	CAC31711.1
OG0001014	AMC59751.1	CAC31710.1
OG0001015	AMC59752.1	CAC31709.1
OG0001017	AMC59764.1	CAC31704.1
OG0001018	AMC59765.1	CAC31703.1
OG0001019	AMC59766.1	CAC31702.1
OG0001020	AMC59767.1	CAC31701.1
OG0001021	AMC59773.1	CAC31696.1
OG0001022	AMC59774.1	CAC31695.1
OG0001023	AMC59775.1	CAC31694.1
OG0001024	AMC59776.1	CAC31693.1
OG0001025	AMC59778.1	CAC31691.1
OG0001026	AMC59779.1	CAC31690.1
OG0001027	AMC59782.1	CAC31687.1
OG0001028	AMC59788.1	CAC31683.1
OG0001029	AMC59792.1	CAC31681.1
OG0001030	AMC59793.1	CAC31680.1
OG0001031	AMC59794.1	CAC31679.1
OG0001032	AMC59795.1	CAC31678.1
OG0001033	AMC59800.1	CAC31674.1
OG0001034	AMC59801.1	CAC31670.1
OG0001035	AMC59802.1	CAC31669.1
OG0001036	AMC59806.1	CAC31304.1
OG0001037	AMC59808.1	CAC31302.1
OG0001038	AMC59809.1	CAC31301.1
OG0001039	AMC59810.1	CAC31300.1
OG0001040	AMC59811.1	CAC31299.1
OG0001041	AMC59812.1	CAC31298.1
OG0001042	AMC59814.1	CAC31296.1
OG0001043	AMC59815.1	CAC31295.1
OG0001044	AMC59817.1	CAC31293.1
OG0001045	AMC59819.1	CAC31292.1
OG0001046	AMC59820.1	CAC31291.1
OG0001047	AMC59821.1	CAC31290.1
OG0001048	AMC59829.1	CAC31289.1
OG0001049	AMC59830.1	CAC31288.1
OG0001050	AMC59831.1	CAC31287.1
OG0001051	AMC59832.1	CAC31286.1
OG0001052	AMC59833.1	CAC31285.1
OG0001053	AMC59834.1	CAC31284.1
OG0001054	AMC59835.1	CAC31283.1
OG0001055	AMC59836.1	CAC31282.1
OG0001056	AMC59839.1	CAC31279.1
OG0001057	AMC59840.1	CAC31278.1
OG0001058	AMC59842.1	CAC31277.1
OG0001059	AMC59843.1	CAC31276.1
OG0001060	AMC59845.1	CAC31274.1
OG0001061	AMC59846.1	CAC31273.1
OG0001062	AMC59847.1	CAC31272.1
OG0001063	AMC59848.1	CAC31271.1
OG0001064	AMC59849.1	CAC31270.1
OG0001065	AMC59850.1	CAC31269.1
OG0001066	AMC59853.1	CAC31267.1
OG0001067	AMC59855.1	CAC31266.1
OG0001068	AMC59860.1	CAC31262.1
OG0001069	AMC59863.1	CAC31260.1
OG0001070	AMC59864.1	CAC31259.1
OG0001071	AMC59865.1	CAC31258.1
OG0001072	AMC59866.1	CAC31257.1
OG0001073	AMC59867.1	CAC31256.1
OG0001074	AMC59869.1	CAC31254.1
OG0001075	AMC59870.1	CAC31253.1
OG0001076	AMC59871.1	CAC31252.1
OG0001077	AMC59875.1	CAC31250.1
OG0001078	AMC59877.1	CAC31249.1
OG0001079	AMC59880.1	CAC31247.1
OG0001080	AMC59881.1	CAC31246.1
OG0001081	AMC59884.1	CAC31245.1
OG0001082	AMC59885.1	CAC31243.1
OG0001083	AMC59886.1	CAC31242.1
OG0001084	AMC59889.1	CAC31240.1
OG0001085	AMC59890.1	CAC31239.1
OG0001086	AMC59891.1	CAC31238.1
OG0001087	AMC59893.1	CAC31306.1
OG0001088	AMC59894.1	CAC30581.1
OG0001089	AMC59895.1	CAC30582.1
OG0001090	AMC59896.1	CAC30583.1
OG0001091	AMC59897.1	CAC30584.1
OG0001092	AMC59898.1	CAC30586.1
OG0001093	AMC59901.1	CAC30588.1
OG0001094	AMC59902.1	CAC30589.1
OG0001095	AMC59903.1	CAC30590.1
OG0001096	AMC59908.1	CAC30595.1
OG0001097	AMC59913.1	CAC30600.1
OG0001098	AMC59915.1	CAC30602.1
OG0001099	AMC59918.1	CAC30604.1
OG0001100	AMC59919.1	CAC30605.1
OG0001101	AMC59922.1	CAC30608.1
OG0001102	AMC59933.1	CAC30735.1
OG0001103	AMC59934.1	CAC30736.1
OG0001104	AMC59935.1	CAC30737.1
OG0001107	AMC59965.1	CAC30747.1
OG0001108	AMC59996.1	CAC30721.1
OG0001109	AMC59997.1	CAC30722.1
OG0001110	AMC59998.1	CAC30723.1
OG0001111	AMC60005.1	CAC31230.1
OG0001112	AMC60006.1	CAC31229.1
OG0001113	AMC60016.1	CAC30349.1
OG0001114	AMC60017.1	CAC30348.1
OG0001115	AMC60024.1	CAC30344.1
OG0001116	AMC60025.1	CAC30343.1
OG0001117	AMC60026.1	CAC30341.1
OG0001118	AMC60040.1	CAC30336.1
OG0001119	AMC60041.1	CAC30335.1
OG0001120	AMC60044.1	CAC30142.1
OG0001121	AMC60045.1	CAC30141.1
OG0001122	AMC60048.1	CAC30139.1
OG0001123	AMC60051.1	CAC30136.1
OG0001124	AMC60052.1	CAC30135.1
OG0001125	AMC60056.1	CAC30134.1
OG0001126	AMC60057.1	CAC30133.1
OG0001127	AMC60059.1	CAC30132.1
OG0001132	AMC60090.1	CAC30123.1
OG0001133	AMC60091.1	CAC30122.1
OG0001135	AMC60094.1	CAC30119.1
OG0001136	AMC60098.1	CAC30115.1
OG0001137	AMC60099.1	CAC30114.1
OG0001138	AMC60100.1	CAC30113.1
OG0001139	AMC60101.1	CAC30112.1
OG0001140	AMC60102.1	CAC30111.1
OG0001141	AMC60109.1	CAC30402.1
OG0001142	AMC60110.1	CAC30403.1
OG0001143	AMC60111.1	CAC30404.1
OG0001144	AMC60118.1	CAC30408.1
OG0001145	AMC60121.1	CAC30997.1
OG0001148	AMC60131.1	CAC30413.1
OG0001149	AMC60133.1	CAC30414.1
OG0001150	AMC60134.1	CAC30415.1
OG0001151	AMC60135.1	CAC30416.1
OG0001152	AMC60136.1	CAC30417.1
OG0001153	AMC60139.1	CAC30418.1
OG0001154	AMC60140.1	CAC30419.1
OG0001155	AMC60141.1	CAC30420.1
OG0001156	AMC60142.1	CAC30421.1
OG0001157	AMC60143.1	CAC30422.1
OG0001158	AMC60150.1	CAC30427.1
OG0001159	AMC60151.1	CAC30428.1
OG0001160	AMC60153.1	CAC30429.1
OG0001161	AMC60154.1	CAC30430.1
OG0001162	AMC60155.1	CAC30431.1
OG0001163	AMC60158.1	CAC30434.1
OG0001164	AMC60159.1	CAC30435.1
OG0001165	AMC60160.1	CAC30436.1
OG0001166	AMC60162.1	CAC31636.1
OG0001167	AMC60165.1	CAC31634.1
OG0001168	AMC60171.1	CAC31630.1
OG0001169	AMC60172.1	CAC31629.1
OG0001170	AMC60174.1	CAC31627.1
OG0001171	AMC60175.1	CAC31626.1
OG0001172	AMC60176.1	CAC31625.1
OG0001176	AMC60206.1	CAC29939.1
OG0001177	AMC60207.1	CAC29938.1
OG0001178	AMC60208.1	CAC29937.1
OG0001179	AMC60210.1	CAC29935.1
OG0001180	AMC60221.1	CAC29933.1
OG0001181	AMC60222.1	CAC29932.1
OG0001182	AMC60223.1	CAC31574.1
OG0001183	AMC60224.1	CAC31573.1
OG0001184	AMC60226.1	CAC31572.1
OG0001185	AMC60235.1	CAC30032.1
OG0001186	AMC60237.1	CAC30031.1
OG0001187	AMC60238.1	CAC30030.1
OG0001188	AMC60239.1	CAC30029.1
OG0001189	AMC60240.1	CAC30028.1
OG0001190	AMC60241.1	CAC30027.1
OG0001191	AMC60242.1	CAC30026.1
OG0001192	AMC60243.1	CAC30025.1
OG0001193	AMC60245.1	CAC30024.1
OG0001194	AMC60258.1	CAC30023.1
OG0001195	AMC60259.1	CAC30022.1
OG0001196	AMC60260.1	CAC30021.1
OG0001197	AMC60261.1	CAC30020.1
OG0001198	AMC60265.1	CAC30018.1
OG0001200	AMC60273.1	CAC32211.1
OG0001201	AMC60275.1	CAC30016.1
OG0001203	AMC60278.1	CAC30009.1
OG0001206	AMC60286.1	CAC30002.1
OG0001207	AMC60287.1	CAC30001.1
OG0001208	AMC60290.1	CAC29999.1
OG0001209	AMC60292.1	CAC29997.1
OG0001210	AMC60293.1	CAC29996.1
OG0001211	AMC60294.1	CAC29995.1
OG0001212	AMC60296.1	CAC29994.1
OG0001213	AMC60297.1	CAC29993.1
OG0001214	AMC60298.1	CAC29992.1
OG0001215	AMC60300.1	CAC29991.1
OG0001216	AMC60301.1	CAC29990.1
OG0001217	AMC60302.1	CAC29989.1
OG0001218	AMC60311.1	CAC29983.1
OG0001219	AMC60312.1	CAC29982.1
OG0001221	AMC60314.1	CAC29958.1
OG0001222	AMC60317.1	CAC29959.1
OG0001223	AMC60318.1	CAC29960.1
OG0001224	AMC60319.1	CAC29961.1
OG0001225	AMC60320.1	CAC29962.1
OG0001226	AMC60321.1	CAC29963.1
OG0001227	AMC60322.1	CAC29964.1
OG0001228	AMC60350.1	CAC29975.1
OG0001229	AMC60383.1	CAC31720.1
OG0001230	AMC60384.1	CAC31719.1
OG0001231	AMC60387.1	CAC31426.1
OG0001232	AMC60388.1	CAC31425.1
OG0001233	AMC60390.1	CAC31424.1
OG0001234	AMC60392.1	CAC31422.1
OG0001235	AMC60393.1	CAC31421.1
OG0001236	AMC60395.1	CAC31418.1
OG0001237	AMC60407.1	CAC31411.1
OG0001238	AMC60408.1	CAC31410.1
OG0001239	AMC60409.1	CAC31409.1
OG0001240	AMC60410.1	CAC31408.1
OG0001241	AMC60412.1	CAC31406.1
OG0001242	AMC60413.1	CAC31405.1
OG0001243	AMC60414.1	CAC31404.1
OG0001244	AMC60415.1	CAC31403.1
OG0001245	AMC60419.1	CAC31398.1
OG0001246	AMC60420.1	CAC31397.1
OG0001247	AMC60421.1	CAC31396.1
OG0001248	AMC60422.1	CAC31395.1
OG0001249	AMC60426.1	CAC31390.1
OG0001250	AMC60429.1	CAC31387.1
OG0001251	AMC60430.1	CAC31386.1
OG0001252	AMC60431.1	CAC31385.1
OG0001253	AMC60432.1	CAC31384.1
OG0001254	AMC60433.1	CAC31383.1
OG0001256	AMC60437.1	CAC31378.1
OG0001257	AMC60438.1	CAC31377.1
OG0001258	AMC60439.1	CAC31376.1
OG0001259	AMC60440.1	CAC31375.1
OG0001260	AMC60444.1	CAC31371.1
OG0001261	AMC60445.1	CAC31370.1
OG0001262	AMC60448.1	CAC31369.1
OG0001263	AMC60449.1	CAC31368.1
OG0001264	AMC60450.1	CAC31367.1
OG0001265	AMC60451.1	CAC31366.1
OG0001266	AMC60452.1	CAC31365.1
OG0001267	AMC60459.1	CAC31360.1
OG0001268	AMC60460.1	CAC31359.1
OG0001269	AMC60465.1	CAC30463.1
OG0001270	AMC60466.1	CAC30464.1
OG0001271	AMC60467.1	CAC30465.1
OG0001272	AMC60475.1	CAC30469.1
OG0001273	AMC60476.1	CAC30470.1
OG0001274	AMC60483.1	CAC30476.1
OG0001275	AMC60485.1	CAC30477.1
OG0001278	AMC60496.1	CAC31236.1
OG0001279	AMC60497.1	CAC31235.1
OG0001280	AMC60499.1	CAC31234.1
OG0001281	AMC60500.1	CAC31233.1
OG0001282	AMC60507.1	CAC30497.1
OG0001283	AMC60508.1	CAC30498.1
OG0001284	AMC60509.1	CAC30499.1
OG0001285	AMC60557.1	CAC30506.1
OG0001286	AMC60558.1	CAC30507.1
OG0001287	AMC60559.1	CAC30509.1
OG0001288	AMC60561.1	CAC30511.1
OG0001289	AMC60562.1	CAC30512.1
OG0001291	AMC60580.1	CAC30524.1
OG0001292	AMC60583.1	CAC30527.1
OG0001293	AMC60586.1	CAC30528.1
OG0001294	AMC60590.1	CAC30532.1
OG0001295	AMC60591.1	CAC30533.1
OG0001296	AMC60592.1	CAC30534.1
OG0001297	AMC60602.1	CAC30540.1
OG0001298	AMC60603.1	CAC30541.1
OG0001299	AMC60604.1	CAC30542.1
OG0001300	AMC60609.1	CAC30547.1
OG0001301	AMC60610.1	CAC30548.1
OG0001302	AMC60611.1	CAC30549.1
OG0001303	AMC60616.1	CAC30551.1
OG0001306	AMC60620.1	CAC30558.1
OG0001307	AMC60623.1	CAC30561.1
OG0001308	AMC60624.1	CAC30562.1
OG0001309	AMC60625.1	CAC30563.1
OG0001310	AMC60626.1	CAC30564.1
OG0001311	AMC60628.1	CAC30566.1
OG0001312	AMC60629.1	CAC30567.1
OG0001313	AMC60630.1	CAC30568.1
OG0001314	AMC60631.1	CAC30569.1
OG0001317	AMC60639.1	CAC30573.1
OG0001318	AMC60640.1	CAC30575.1
OG0001320	AMC60645.1	CAC30579.1
OG0001321	AMC60646.1	CAC30580.1
OG0001322	AMC60649.1	CAC30611.1
OG0001323	AMC60650.1	CAC30612.1
OG0001324	AMC60651.1	CAC30613.1
OG0001325	AMC60652.1	CAC30614.1
OG0001326	AMC60662.1	CAC31868.1
OG0001327	AMC60680.1	CAC29639.1
OG0001328	AMC60699.1	CAC30616.1
OG0001329	AMC60700.1	CAC30617.1
OG0001330	AMC60703.1	CAC30619.1
OG0001331	AMC60704.1	CAC30620.1
OG0001332	AMC60708.1	CAC30624.1
OG0001333	AMC60711.1	CAC30628.1
OG0001334	AMC60712.1	CAC30629.1
OG0001335	AMC60715.1	CAC30630.1
OG0001336	AMC60719.1	CAC30633.1
OG0001337	AMC60720.1	CAC30634.1
OG0001338	AMC60721.1	CAC30635.1
OG0001339	AMC60722.1	CAC30636.1
OG0001341	AMC60728.1	CAC30641.1
OG0001342	AMC60729.1	CAC30642.1
OG0001343	AMC60740.1	CAC30647.1
OG0001344	AMC60741.1	CAC30648.1
OG0001345	AMC60744.1	CAC30651.1
OG0001346	AMC60745.1	CAC30652.1
OG0001347	AMC60748.1	CAC30653.1
OG0001348	AMC60749.1	CAC30654.1
OG0001349	AMC60750.1	CAC30655.1
OG0001350	AMC60751.1	CAC30656.1
OG0001351	AMC60753.1	CAC30657.1
OG0001352	AMC60755.1	CAC30659.1
OG0001353	AMC60761.1	CAC30660.1
OG0001354	AMC60762.1	CAC30661.1
OG0001355	AMC60765.1	CAC30664.1
OG0001356	AMC60766.1	CAC30665.1
OG0001357	AMC60767.1	CAC30666.1
OG0001358	AMC60768.1	CAC30667.1
OG0001359	AMC60769.1	CAC30668.1
OG0001360	AMC60772.1	CAC30672.1
OG0001361	AMC60773.1	CAC30673.1
OG0001362	AMC60776.1	CAC30676.1
OG0001363	AMC60779.1	CAC30679.1
OG0001364	AMC60780.1	CAC30680.1
OG0001365	AMC60781.1	CAC30681.1
OG0001366	AMC60782.1	CAC30682.1
OG0001367	AMC60788.1	CAC30686.1
OG0001368	AMC60789.1	CAC30687.1
OG0001369	AMC60790.1	CAC30688.1
OG0001370	AMC60791.1	CAC30689.1
OG0001371	AMC60795.1	CAC30693.1
OG0001374	AMC60843.1	CAC30180.1
OG0001375	AMC60844.1	CAC30179.1
OG0001376	AMC60848.1	CAC30176.1
OG0001377	AMC60849.1	CAC30175.1
OG0001380	AMC60885.1	CAC30171.1
OG0001381	AMC60887.1	CAC30170.1
OG0001382	AMC60888.1	CAC30169.1
OG0001389	AMC60946.1	CAC30152.1
OG0001390	AMC60947.1	CAC30151.1
OG0001391	AMC60950.1	CAC30149.1
OG0001392	AMC60951.1	CAC30148.1
OG0001393	AMC60953.1	CAC30146.1
OG0001394	AMC60964.1	CAC30328.1
OG0001395	AMC60965.1	CAC30327.1
OG0001396	AMC60966.1	CAC30326.1
OG0001397	AMC60967.1	CAC30325.1
OG0001398	AMC60968.1	CAC30324.1
OG0001399	AMC60970.1	CAC30323.1
OG0001400	AMC60973.1	CAC30320.1
OG0001401	AMC60976.1	CAC30318.1
OG0001402	AMC60978.1	CAC30316.1
OG0001403	AMC60981.1	CAC30314.1
OG0001404	AMC60982.1	CAC30313.1
OG0001405	AMC60983.1	CAC30312.1
OG0001406	AMC60990.1	CAC30302.1
OG0001407	AMC60991.1	CAC30301.1
OG0001408	AMC60992.1	CAC30300.1
OG0001410	AMC60999.1	CAC30291.1
OG0001411	AMC61000.1	CAC30290.1
OG0001412	AMC61003.1	CAC30288.1
OG0001413	AMC61004.1	CAC30287.1
OG0001414	AMC61005.1	CAC30285.1
OG0001415	AMC61007.1	CAC30284.1
OG0001416	AMC61008.1	CAC30283.1
OG0001417	AMC61009.1	CAC30282.1
OG0001418	AMC61010.1	CAC30281.1
OG0001419	AMC61011.1	CAC30280.1
OG0001420	AMC61018.1	CAC30274.1
OG0001421	AMC61019.1	CAC30273.1
OG0001422	AMC61020.1	CAC30272.1
OG0001423	AMC61021.1	CAC30270.1
OG0001424	AMC61022.1	CAC30269.1
OG0001425	AMC61023.1	CAC30268.1
OG0001426	AMC61024.1	CAC30267.1
OG0001427	AMC61026.1	CAC30265.1
OG0001428	AMC61027.1	CAC30262.1
OG0001429	AMC61028.1	CAC30261.1
OG0001430	AMC61029.1	CAC30260.1
OG0001431	AMC61030.1	CAC30259.1
OG0001432	AMC61032.1	CAC30257.1
OG0001433	AMC61038.1	CAC30246.1
OG0001434	AMC61040.1	CAC30245.1
OG0001435	AMC61042.1	CAC30244.1
OG0001436	AMC61043.1	CAC30243.1
OG0001437	AMC61044.1	CAC30242.1
OG0001438	AMC61045.1	CAC30241.1
OG0001439	AMC61046.1	CAC30240.1
OG0001440	AMC61048.1	CAC30238.1
OG0001441	AMC61049.1	CAC30237.1
OG0001444	AMC61062.1	CAC30226.1
OG0001445	AMC61066.1	CAC30224.1
OG0001449	AMC61088.1	CAC30206.1
OG0001450	AMC61089.1	CAC30205.1
OG0001451	AMC61103.1	CAC30200.1
OG0001453	AMC61110.1	CAC30196.1
OG0001454	AMC61111.1	CAC30195.1
OG0001455	AMC61117.1	CAC30191.1
OG0001457	AMC61128.1	CAC30185.1
OG0001458	AMC61130.1	CAC30183.1
OG0001459	AMC61140.1	CAC29927.1
OG0001460	AMC61147.1	CAC29922.1
OG0001462	AMC61174.1	CAC29903.1
OG0001463	AMC61178.1	CAC29901.1
OG0001464	AMC61179.1	CAC29900.1
OG0001465	AMC61189.1	CAC29897.1
OG0001466	AMC61190.1	CAC29896.1
OG0001467	AMC61191.1	CAC29895.1
OG0001468	AMC61192.1	CAC29894.1
OG0001469	AMC61195.1	CAC29891.1
OG0001470	AMC61196.1	CAC29890.1
OG0001471	AMC61198.1	CAC29888.1
OG0001472	AMC61199.1	CAC29887.1
OG0001473	AMC61201.1	CAC29886.1
OG0001474	AMC61202.1	CAC29885.1
OG0001475	AMC61203.1	CAC29883.1
OG0001476	AMC61222.1	CAC29881.1
OG0001477	AMC61225.1	CAC29879.1
OG0001478	AMC61227.1	CAC29878.1
OG0001479	AMC61230.1	CAC29874.1
OG0001480	AMC61231.1	CAC29873.1
OG0001481	AMC61232.1	CAC29872.1
OG0001482	AMC61233.1	CAC29871.1
OG0001483	AMC61243.1	CAC30910.1
OG0001484	AMC61244.1	CAC30911.1
OG0001485	AMC61245.1	CAC30912.1
OG0001486	AMC61246.1	CAC30913.1
OG0001487	AMC61247.1	CAC30914.1
OG0001488	AMC61248.1	CAC30915.1
OG0001489	AMC61249.1	CAC30917.1
OG0001490	AMC61251.1	CAC30919.1
OG0001493	AMC61275.1	CAC31210.1
OG0001495	AMC61299.1	CAC29862.1
OG0001497	AMC61322.1	CAC29856.1
OG0001502	AMC61384.1	CAC29832.1
OG0001503	AMC61385.1	CAC29831.1
OG0001504	AMC61386.1	CAC29830.1
OG0001505	AMC61387.1	CAC29829.1
OG0001506	AMC61388.1	CAC29828.1
OG0001507	AMC61389.1	CAC29827.1
OG0001509	AMC61393.1	CAC30873.1
OG0001510	AMC61394.1	CAC30874.1
OG0001511	AMC61395.1	CAC30875.1
OG0001512	AMC61398.1	CAC30876.1
OG0001513	AMC61399.1	CAC30877.1
OG0001514	AMC61400.1	CAC30878.1
OG0001515	AMC61403.1	CAC29743.1
OG0001516	AMC61404.1	CAC29742.1
OG0001517	AMC61405.1	CAC29741.1
OG0001518	AMC61406.1	CAC29740.1
