Orthogroup	Mbovis	Mavium
OG0000383	ALV09404.1	AAS03661.1, AAS06103.1
OG0000384	ALV09405.1	AAS06104.1
OG0000385	ALV09406.1	AAS06105.1, AAS03967.1
OG0000386	ALV09408.1	AAS06136.1, AAS06107.1
OG0000387	ALV09412.1	AAS06114.1
OG0000388	ALV12784.1	AAS06116.1
OG0000389	ALV09413.1	AAS06117.1, AAS06060.1
OG0000390	ALV09419.1	AAS06122.1
OG0000391	ALV09420.1	AAS06123.1
OG0000392	ALV12787.1	AAS06124.1
OG0000393	ALV12788.1	AAS06128.1
OG0000394	ALV09436.1	AAS06160.1
OG0000395	ALV09437.1	AAS06161.1
OG0000396	ALV09438.1	AAS06162.1
OG0000397	ALV09439.1	AAS06163.1
OG0000398	ALV09441.1	AAS06166.1
OG0000399	ALV09443.1	AAS06172.1
OG0000400	ALV09444.1	AAS06173.1
OG0000401	ALV09445.1	AAS06174.1
OG0000402	ALV09450.1	AAS06181.1
OG0000403	ALV09460.1	AAS06187.1
OG0000404	ALV09461.1	AAS06188.1, AAS05791.1
OG0000405	ALV12794.1	AAS06189.1
OG0000406	ALV09463.1	AAS06191.1
OG0000407	ALV09464.1	AAS06192.1
OG0000408	ALV09465.1	AAS06193.1
OG0000409	ALV09468.1	AAS06196.1
OG0000410	ALV09472.1	AAS06202.1
OG0000411	ALV09480.1	AAS06213.1
OG0000412	ALV09481.1	AAS06214.1
OG0000413	ALV09482.1	AAS06215.1
OG0000414	ALV09483.1	AAS06216.1
OG0000415	ALV09484.1	AAS06217.1
OG0000416	ALV09491.1	AAS06223.1
OG0000417	ALV09493.1	AAS06236.1
OG0000418	ALV09495.1	AAS06238.1
OG0000419	ALV09496.1	AAS06239.1
OG0000420	ALV09499.1	AAS06241.1
OG0000421	ALV09500.1	AAS06242.1
OG0000422	ALV09501.1	AAS06243.1
OG0000423	ALV09503.1	AAS06246.1
OG0000424	ALV09508.1	AAS06250.1
OG0000425	ALV09520.1	AAS06258.1
OG0000426	ALV09521.1	AAS06259.1
OG0000427	ALV09527.1	AAS06264.1
OG0000428	ALV09528.1	AAS06266.1, AAS06853.1
OG0000429	ALV09529.1	AAS06267.1, AAS05740.1
OG0000430	ALV09541.1	AAS06328.1
OG0000431	ALV09542.1	AAS06329.1
OG0000432	ALV09543.1	AAS06330.1
OG0000433	ALV09548.1	AAS06335.1
OG0000434	ALV09549.1	AAS06336.1
OG0000435	ALV09550.1	AAS06337.1
OG0000436	ALV09551.1	AAS06338.1
OG0000437	ALV09559.1	AAS04340.1, AAS04049.1
OG0000438	ALV09565.1	AAS06345.1, AAS03582.1
OG0000439	ALV09566.1	AAS06346.1
OG0000440	ALV09568.1	AAS06349.1, AAS04512.1
OG0000441	ALV09571.1	AAS03978.1, AAS06354.1
OG0000442	ALV09576.1	AAS06370.1
OG0000443	ALV09577.1	AAS05802.1, AAS06375.1
OG0000444	ALV09587.1	AAS06378.1
OG0000445	ALV09589.1	AAS06380.1
OG0000446	ALV09590.1	AAS06381.1
OG0000447	ALV09602.1	AAS06391.1
OG0000448	ALV09604.1	AAS06393.1
OG0000449	ALV09607.1	AAS06419.1
OG0000450	ALV09608.1	AAS06417.1
OG0000451	ALV09610.1	AAS06414.1
OG0000452	ALV09611.1	AAS06413.1
OG0000453	ALV09614.1	AAS06412.1
OG0000454	ALV12805.1	AAS06409.1
OG0000455	ALV09630.1	AAS06407.1
OG0000456	ALV09631.1	AAS06405.1
OG0000457	ALV09632.1	AAS06403.1
OG0000458	ALV09636.1	AAS06422.1
OG0000459	ALV09637.1	AAS06423.1
OG0000460	ALV09647.1	AAS06430.1
OG0000461	ALV09652.1	AAS06433.1
OG0000462	ALV09656.1	AAS06443.1
OG0000463	ALV09657.1	AAS06444.1
OG0000464	ALV09660.1	AAS06447.1
OG0000465	ALV09661.1	AAS06448.1
OG0000466	ALV09662.1	AAS06449.1
OG0000467	ALV09663.1	AAS06450.1
OG0000468	ALV09664.1	AAS06457.1, AAS06456.1
OG0000469	ALV09668.1	AAS06462.1
OG0000470	ALV09669.1	AAS06463.1
OG0000471	ALV09672.1	AAS06465.1
OG0000472	ALV09674.1	AAS06468.1
OG0000473	ALV09675.1	AAS06469.1
OG0000474	ALV09676.1	AAS06470.1
OG0000475	ALV09681.1	AAS06478.1
OG0000476	ALV12809.1	AAS06479.1
OG0000477	ALV09682.1	AAS06480.1
OG0000478	ALV09699.1	AAS06498.1
OG0000479	ALV09706.1	AAS06506.1
OG0000480	ALV09707.1	AAS06507.1
OG0000481	ALV09708.1	AAS06508.1
OG0000482	ALV09710.1	AAS06510.1
OG0000483	ALV09712.1	AAS06512.1
OG0000484	ALV09716.1	AAS06515.1
OG0000485	ALV09718.1	AAS06518.1
OG0000486	ALV12815.1	AAS06519.1
OG0000487	ALV09719.1	AAS06520.1
OG0000488	ALV09720.1	AAS06521.1
OG0000489	ALV09721.1	AAS06522.1
OG0000490	ALV09722.1	AAS06523.1
OG0000491	ALV09723.1	AAS06524.1, AAS05712.1
OG0000492	ALV09724.1	AAS06525.1
OG0000493	ALV12816.1	AAS06526.1
OG0000494	ALV12817.1	AAS06529.1
OG0000495	ALV09727.1	AAS06530.1
OG0000496	ALV09728.1	AAS06531.1
OG0000497	ALV12820.1	AAS06533.1
OG0000498	ALV12821.1	AAS06536.1
OG0000499	ALV09733.1	AAS06537.1
OG0000500	ALV09735.1	AAS06539.1
OG0000501	ALV09737.1	AAS06541.1
OG0000502	ALV09738.1	AAS06542.1
OG0000503	ALV09741.1	AAS06544.1
OG0000504	ALV09742.1	AAS06545.1
OG0000505	ALV09743.1	AAS06546.1
OG0000506	ALV12822.1	AAS06547.1
OG0000507	ALV09747.1	AAS06552.1
OG0000508	ALV12823.1	AAS06553.1
OG0000509	ALV12824.1	AAS06555.1
OG0000510	ALV09758.1	AAS06570.1
OG0000511	ALV09759.1	AAS06571.1
OG0000512	ALV12827.1	AAS06572.1
OG0000513	ALV09760.1	AAS06573.1
OG0000514	ALV12828.1	AAS06574.1
OG0000515	ALV09761.1	AAS06575.1
OG0000516	ALV09764.1	AAS06577.1
OG0000517	ALV09767.1	AAS06579.1
OG0000518	ALV09775.1	AAS06588.1
OG0000519	ALV09777.1	AAS06590.1
OG0000520	ALV09778.1	AAS06591.1
OG0000521	ALV09779.1	AAS06592.1
OG0000522	ALV09780.1	AAS06046.1, AAS06593.1
OG0000523	ALV09781.1	AAS06594.1
OG0000524	ALV12829.1	AAS06600.1
OG0000525	ALV09786.1	AAS06601.1
OG0000526	ALV09787.1	AAS06602.1
OG0000527	ALV09788.1	AAS06603.1
OG0000528	ALV09791.1	AAS06606.1
OG0000529	ALV09793.1	AAS06607.1
OG0000530	ALV09795.1	AAS06609.1
OG0000531	ALV09857.1	AAS06654.1
OG0000532	ALV09858.1	AAS06655.1
OG0000533	ALV09859.1	AAS06656.1
OG0000534	ALV09860.1	AAS06657.1
OG0000535	ALV09861.1	AAS06658.1
OG0000536	ALV09862.1	AAS06659.1
OG0000537	ALV09863.1	AAS06660.1
OG0000538	ALV09864.1	AAS06661.1
OG0000539	ALV09865.1	AAS06662.1
OG0000540	ALV09866.1	AAS06663.1
OG0000541	ALV09867.1	AAS06666.1
OG0000542	ALV09871.1	AAS06668.1
OG0000543	ALV09872.1	AAS06669.1
OG0000544	ALV09875.1	AAS06675.1
OG0000545	ALV09876.1	AAS06676.1
OG0000546	ALV09879.1	AAS06679.1
OG0000547	ALV09892.1	AAS06680.1
OG0000548	ALV09893.1	AAS06681.1
OG0000549	ALV09895.1	AAS06682.1
OG0000550	ALV09906.1	AAS06690.1
OG0000551	ALV09907.1	AAS06691.1
OG0000552	ALV12844.1	AAS06692.1
OG0000553	ALV09926.1	AAS06710.1
OG0000554	ALV09927.1	AAS06711.1
OG0000555	ALV09928.1	AAS06712.1
OG0000556	ALV09929.1	AAS06713.1
OG0000557	ALV09930.1	AAS06714.1
OG0000558	ALV09931.1	AAS06715.1
OG0000559	ALV09932.1	AAS06716.1
OG0000560	ALV09933.1	AAS06717.1
OG0000561	ALV09934.1	AAS06718.1
OG0000562	ALV09935.1	AAS06719.1
OG0000563	ALV09936.1	AAS06720.1
OG0000564	ALV09939.1	AAS06723.1, AAS06725.1
OG0000565	ALV09940.1	AAS06727.1
OG0000566	ALV09941.1	AAS06728.1
OG0000567	ALV09942.1	AAS06729.1
OG0000568	ALV09943.1	AAS06730.1
OG0000569	ALV09944.1	AAS06731.1
OG0000570	ALV09945.1	AAS06732.1
OG0000571	ALV09946.1	AAS06733.1
OG0000572	ALV09947.1	AAS06734.1
OG0000573	ALV09948.1	AAS06735.1
OG0000574	ALV09949.1	AAS06736.1
OG0000575	ALV09955.1	AAS06746.1
OG0000576	ALV09957.1	AAS06748.1
OG0000577	ALV09958.1	AAS06749.1
OG0000578	ALV09959.1	AAS06750.1
OG0000579	ALV09973.1	AAS03061.1, AAS06763.1
OG0000580	ALV09984.1	AAS02910.1
OG0000581	ALV09985.1	AAS02911.1, AAS02858.1
OG0000582	ALV09991.1	AAS03796.1, AAS02918.1
OG0000583	ALV09994.1	AAS02921.1, AAS03048.1
OG0000584	ALV09995.1	AAS02922.1, AAS05098.1
OG0000585	ALV09996.1	AAS02923.1
OG0000586	ALV10001.1	AAS02928.1
OG0000587	ALV10004.1	AAS02931.1
OG0000588	ALV10005.1	AAS02932.1
OG0000589	ALV10013.1	AAS02942.1
OG0000590	ALV10014.1	AAS02943.1
OG0000591	ALV10023.1	AAS02949.1
OG0000592	ALV10026.1	AAS02952.1
OG0000593	ALV10028.1	AAS06770.1
OG0000594	ALV10030.1	AAS02954.1
OG0000595	ALV12852.1	AAS02955.1
OG0000596	ALV10031.1	AAS02956.1
OG0000597	ALV10032.1	AAS02957.1
OG0000598	ALV10033.1	AAS02958.1
OG0000599	ALV10035.1	AAS02960.1
OG0000600	ALV10037.1	AAS02964.1
OG0000601	ALV10038.1	AAS02965.1
OG0000602	ALV10039.1	AAS02967.1
OG0000603	ALV10042.1	AAS02974.1
OG0000604	ALV12855.1	AAS02976.1, AAS05704.1
OG0000605	ALV10054.1	AAS02988.1, AAS05622.1
OG0000606	ALV10060.1	AAS03018.1, AAS03744.1
OG0000607	ALV10064.1	AAS03100.1
OG0000608	ALV10065.1	AAS03956.1, AAS03101.1
OG0000609	ALV10070.1	AAS03116.1
OG0000610	ALV10071.1	AAS03117.1
OG0000611	ALV12864.1	AAS03118.1
OG0000612	ALV10075.1	AAS03122.1
OG0000613	ALV10079.1	AAS03127.1
OG0000614	ALV10083.1	AAS03131.1
OG0000615	ALV10084.1	AAS03132.1
OG0000616	ALV10085.1	AAS03133.1
OG0000617	ALV10087.1	AAS03135.1
OG0000618	ALV10091.1	AAS03139.1
OG0000619	ALV10092.1	AAS03140.1
OG0000620	ALV10094.1	AAS03142.1
OG0000621	ALV10102.1	AAS03146.1
OG0000622	ALV12868.1	AAS03151.1
OG0000623	ALV10110.1	AAS03157.1
OG0000624	ALV10114.1	AAS03162.1
OG0000625	ALV12870.1	AAS03163.1
OG0000626	ALV12871.1	AAS03186.1
OG0000627	ALV10139.1	AAS03197.1, AAS03646.1
OG0000628	ALV12875.1	AAS03202.1, AAS05782.1
OG0000629	ALV12876.1	AAS03645.1, AAS03206.1
OG0000630	ALV10144.1	AAS03208.1
OG0000631	ALV10146.1	AAS03209.1
OG0000632	ALV10147.1	AAS03210.1
OG0000633	ALV10148.1	AAS03212.1
OG0000634	ALV10149.1	AAS03213.1
OG0000635	ALV10150.1	AAS03214.1
OG0000636	ALV10151.1	AAS03217.1
OG0000637	ALV10152.1	AAS03218.1
OG0000638	ALV10153.1	AAS03219.1
OG0000639	ALV10154.1	AAS03220.1
OG0000640	ALV10163.1	AAS03225.1
OG0000641	ALV10167.1	AAS02397.1
OG0000642	ALV10176.1	AAS03232.1
OG0000643	ALV12882.1	AAS03233.1
OG0000644	ALV10178.1	AAS03234.1
OG0000645	ALV10179.1	AAS03235.1
OG0000646	ALV10180.1	AAS03236.1
OG0000647	ALV10181.1	AAS03237.1
OG0000648	ALV10183.1	AAS06756.1
OG0000649	ALV12883.1	AAS03239.1
OG0000650	ALV12884.1	AAS03240.1
OG0000651	ALV10187.1	AAS03241.1
OG0000652	ALV10188.1	AAS03242.1
OG0000653	ALV10189.1	AAS03243.1
OG0000654	ALV10190.1	AAS03244.1
OG0000655	ALV12885.1	AAS03255.1
OG0000656	ALV12887.1	AAS03260.1
OG0000657	ALV10196.1	AAS03261.1
OG0000658	ALV10199.1	AAS03265.1, AAS03268.1
OG0000659	ALV10200.1	AAS03289.1
OG0000660	ALV10201.1	AAS03290.1
OG0000661	ALV10202.1	AAS03291.1
OG0000662	ALV10203.1	AAS03292.1
OG0000663	ALV10204.1	AAS03293.1
OG0000664	ALV10206.1	AAS03294.1
OG0000665	ALV10207.1	AAS03295.1
OG0000666	ALV10208.1	AAS03296.1
OG0000667	ALV10209.1	AAS03298.1
OG0000668	ALV10210.1	AAS03300.1
OG0000669	ALV12888.1	AAS03301.1
OG0000670	ALV10212.1	AAS03304.1
OG0000671	ALV10216.1	AAS03308.1
OG0000672	ALV10217.1	AAS03309.1
OG0000673	ALV10218.1	AAS03310.1
OG0000674	ALV10262.1	AAS03335.1
OG0000675	ALV10263.1	AAS03336.1
OG0000676	ALV10266.1	AAS03342.1
OG0000677	ALV10268.1	AAS03344.1
OG0000678	ALV10269.1	AAS03345.1
OG0000679	ALV10271.1	AAS05024.1
OG0000680	ALV10273.1	AAS05020.1
OG0000682	ALV10282.1	AAS05017.1
OG0000683	ALV10284.1	AAS05015.1
OG0000684	ALV10285.1	AAS05014.1
OG0000685	ALV10286.1	AAS05013.1
OG0000686	ALV10288.1	AAS05010.1
OG0000687	ALV10289.1	AAS05009.1
OG0000688	ALV12900.1	AAS05008.1
OG0000689	ALV10295.1	AAS05005.1
OG0000690	ALV10296.1	AAS05004.1
OG0000691	ALV10297.1	AAS05003.1
OG0000692	ALV10298.1	AAS05002.1
OG0000693	ALV10299.1	AAS05001.1
OG0000694	ALV10300.1	AAS05000.1
OG0000695	ALV10301.1	AAS04999.1
OG0000696	ALV10310.1	AAS04004.1, AAS04988.1
OG0000697	ALV10315.1	AAS04981.1
OG0000698	ALV10318.1	AAS04644.1, AAS04979.1
OG0000699	ALV12905.1	AAS04978.1
OG0000700	ALV10328.1	AAS04954.1, AAS05664.1
OG0000701	ALV10329.1	AAS04641.1, AAS04952.1
OG0000702	ALV10330.1	AAS06755.1, AAS04951.1
OG0000703	ALV10339.1	AAS04947.1
OG0000704	ALV10342.1	AAS04943.1
OG0000705	ALV10343.1	AAS04942.1
OG0000706	ALV10344.1	AAS04941.1
OG0000707	ALV10345.1	AAS04940.1
OG0000708	ALV10348.1	AAS02686.1, AAS04936.1
OG0000709	ALV10351.1	AAS04933.1
OG0000710	ALV12909.1	AAS04932.1
OG0000711	ALV10356.1	AAS04929.1
OG0000712	ALV10358.1	AAS04928.1
OG0000713	ALV10363.1	AAS04923.1
OG0000714	ALV12912.1	AAS04551.1
OG0000715	ALV10372.1	AAS04897.1
OG0000716	ALV10378.1	AAS04895.1
OG0000717	ALV10379.1	AAS04891.1
OG0000718	ALV10382.1	AAS04889.1
OG0000719	ALV10385.1	AAS04887.1
OG0000720	ALV10386.1	AAS04886.1
OG0000721	ALV10387.1	AAS04885.1
OG0000722	ALV10388.1	AAS04884.1
OG0000723	ALV10391.1	AAS04881.1
OG0000724	ALV12918.1	AAS04875.1
OG0000725	ALV10398.1	AAS04874.1
OG0000726	ALV12919.1	AAS04873.1
OG0000727	ALV12920.1	AAS04872.1
OG0000728	ALV10399.1	AAS04871.1
OG0000729	ALV10403.1	AAS04870.1
OG0000730	ALV10404.1	AAS02903.1, AAS04869.1
OG0000731	ALV10406.1	AAS04382.1, AAS04867.1
OG0000732	ALV10409.1	AAS04865.1
OG0000733	ALV12922.1	AAS04864.1
OG0000734	ALV12923.1	AAS04863.1
OG0000735	ALV10410.1	AAS04862.1
OG0000736	ALV10411.1	AAS04859.1
OG0000737	ALV10412.1	AAS04858.1
OG0000738	ALV10416.1	AAS04856.1
OG0000739	ALV10420.1	AAS04853.1
OG0000740	ALV10421.1	AAS04852.1
OG0000741	ALV10423.1	AAS04850.1
OG0000742	ALV10424.1	AAS04839.1
OG0000743	ALV10426.1	AAS04837.1
OG0000745	ALV10429.1	AAS04832.1
OG0000746	ALV10431.1	AAS02898.1, AAS04826.1
OG0000747	ALV10439.1	AAS04817.1
OG0000748	ALV10440.1	AAS04816.1
OG0000749	ALV12926.1	AAS04815.1
OG0000750	ALV10441.1	AAS04814.1
OG0000751	ALV10442.1	AAS04813.1
OG0000752	ALV10443.1	AAS04811.1
OG0000753	ALV10444.1	AAS04810.1
OG0000754	ALV12927.1	AAS06234.1, AAS03273.1
OG0000755	ALV10445.1	AAS04808.1
OG0000756	ALV10446.1	AAS04807.1
OG0000757	ALV10447.1	AAS04806.1
OG0000758	ALV10448.1	AAS04805.1
OG0000759	ALV10450.1	AAS04801.1, AAS04916.1
OG0000760	ALV10457.1	AAS04787.1
OG0000761	ALV10459.1	AAS04785.1
OG0000762	ALV10460.1	AAS04784.1
OG0000763	ALV10462.1	AAS04783.1
OG0000764	ALV10466.1	AAS04779.1
OG0000765	ALV10467.1	AAS04777.1
OG0000766	ALV12930.1	AAS04776.1
OG0000767	ALV10468.1	AAS04775.1
OG0000768	ALV10469.1	AAS04774.1
OG0000769	ALV10470.1	AAS04773.1
OG0000770	ALV10471.1	AAS04772.1
OG0000771	ALV10472.1	AAS04771.1
OG0000772	ALV10473.1	AAS04770.1
OG0000773	ALV10474.1	AAS04769.1
OG0000774	ALV10475.1	AAS04768.1
OG0000775	ALV10476.1	AAS04767.1
OG0000776	ALV10477.1	AAS04766.1
OG0000777	ALV10478.1	AAS04765.1
OG0000778	ALV10479.1	AAS04764.1
OG0000779	ALV10480.1	AAS04762.1
OG0000780	ALV10485.1	AAS04756.1
OG0000781	ALV10487.1	AAS04754.1
OG0000782	ALV10488.1	AAS04753.1
OG0000783	ALV10489.1	AAS04752.1
OG0000784	ALV10495.1	AAS04746.1
OG0000785	ALV10496.1	AAS04745.1
OG0000786	ALV10497.1	AAS04744.1
OG0000787	ALV10501.1	AAS04742.1
OG0000788	ALV10502.1	AAS04741.1
OG0000789	ALV10503.1	AAS04740.1
OG0000790	ALV10504.1	AAS04739.1
OG0000791	ALV12933.1	AAS04737.1
OG0000792	ALV10505.1	AAS04736.1
OG0000793	ALV10506.1	AAS04735.1
OG0000794	ALV10507.1	AAS02342.1, AAS03872.1
OG0000795	ALV10508.1	AAS02343.1, AAS03871.1
OG0000796	ALV10510.1	AAS03869.1, AAS05697.1
OG0000797	ALV10518.1	AAS03665.1
OG0000798	ALV10524.1	AAS06474.1
OG0000799	ALV10541.1	AAS03432.1
OG0000800	ALV10542.1	AAS03433.1
OG0000801	ALV10544.1	AAS03435.1
OG0000802	ALV10545.1	AAS03436.1
OG0000803	ALV10546.1	AAS03437.1
OG0000804	ALV10550.1	AAS03439.1
OG0000805	ALV10551.1	AAS03440.1
OG0000806	ALV10552.1	AAS03441.1
OG0000807	ALV12935.1	AAS03442.1
OG0000808	ALV12936.1	AAS03443.1
OG0000809	ALV12939.1	AAS03447.1
OG0000810	ALV12940.1	AAS03448.1
OG0000811	ALV10561.1	AAS03449.1
OG0000812	ALV10562.1	AAS03450.1
OG0000813	ALV10564.1	AAS03452.1
OG0000814	ALV10565.1	AAS03453.1
OG0000815	ALV12941.1	AAS03454.1
OG0000816	ALV12942.1	AAS03455.1
OG0000817	ALV10566.1	AAS03456.1
OG0000818	ALV10569.1	AAS03457.1
OG0000819	ALV10570.1	AAS03458.1
OG0000820	ALV10571.1	AAS03459.1
OG0000821	ALV10574.1	AAS03463.1
OG0000822	ALV10575.1	AAS03464.1
OG0000823	ALV10576.1	AAS03465.1
OG0000824	ALV10577.1	AAS03466.1
OG0000825	ALV10581.1	AAS06047.1, AAS03476.1
OG0000826	ALV10582.1	AAS03477.1, AAS05266.1
OG0000827	ALV10587.1	AAS06362.1
OG0000828	ALV10590.1	AAS03481.1
OG0000829	ALV10591.1	AAS03482.1
OG0000830	ALV10592.1	AAS03483.1
OG0000831	ALV10595.1	AAS03484.1
OG0000832	ALV10597.1	AAS02685.1, AAS06651.1
OG0000833	ALV10601.1	AAS03491.1
OG0000834	ALV10602.1	AAS03492.1
OG0000835	ALV10604.1	AAS03494.1
OG0000836	ALV10605.1	AAS03495.1
OG0000837	ALV10608.1	AAS03496.1
OG0000838	ALV10612.1	AAS03499.1
OG0000839	ALV10613.1	AAS03500.1
OG0000840	ALV10614.1	AAS03501.1
OG0000841	ALV10615.1	AAS03502.1
OG0000842	ALV10616.1	AAS03503.1
OG0000843	ALV10617.1	AAS03504.1
OG0000844	ALV10618.1	AAS03505.1
OG0000845	ALV10619.1	AAS03506.1
OG0000846	ALV10620.1	AAS03507.1
OG0000847	ALV10621.1	AAS03508.1
OG0000848	ALV10622.1	AAS03509.1
OG0000849	ALV10627.1	AAS03513.1
OG0000850	ALV10629.1	AAS03515.1
OG0000851	ALV10631.1	AAS03517.1, AAS03948.1
OG0000852	ALV10632.1	AAS03518.1
OG0000853	ALV10633.1	AAS03519.1
OG0000854	ALV10634.1	AAS03520.1
OG0000855	ALV10635.1	AAS03521.1
OG0000856	ALV10636.1	AAS03522.1
OG0000857	ALV10637.1	AAS03523.1
OG0000858	ALV10640.1	AAS03526.1
OG0000859	ALV10641.1	AAS03527.1
OG0000860	ALV10642.1	AAS03528.1
OG0000861	ALV12945.1	AAS03529.1
OG0000862	ALV10643.1	AAS03530.1
OG0000863	ALV12946.1	AAS03542.1
OG0000864	ALV10658.1	AAS06311.1, AAS03735.1
OG0000865	ALV10674.1	AAS06802.1, AAS03562.1
OG0000866	ALV10675.1	AAS03563.1
OG0000867	ALV10676.1	AAS02495.1, AAS03565.1
OG0000868	ALV10677.1	AAS03566.1
OG0000869	ALV10678.1	AAS03567.1
OG0000870	ALV10679.1	AAS03568.1
OG0000871	ALV10683.1	AAS06406.1, AAS03572.1
OG0000872	ALV10685.1	AAS03812.1, AAS03573.1
OG0000873	ALV10686.1	AAS03574.1
OG0000874	ALV10687.1	AAS03577.1, AAS04026.1
OG0000875	ALV10693.1	AAS06709.1, AAS05600.1
OG0000876	ALV10696.1	AAS03581.1
OG0000877	ALV12955.1	AAS05810.1, AAS03587.1
OG0000878	ALV10701.1	AAS03589.1
OG0000879	ALV10702.1	AAS03591.1
OG0000880	ALV10703.1	AAS03592.1
OG0000881	ALV10704.1	AAS03593.1
OG0000882	ALV12958.1	AAS03600.1
OG0000883	ALV10706.1	AAS03601.1
OG0000884	ALV10707.1	AAS03602.1
OG0000885	ALV10708.1	AAS03603.1, AAS06839.1
OG0000886	ALV10709.1	AAS03605.1
OG0000887	ALV10710.1	AAS03606.1
OG0000888	ALV12959.1	AAS03608.1
OG0000889	ALV10714.1	AAS03610.1
OG0000890	ALV10715.1	AAS03611.1
OG0000891	ALV10716.1	AAS03612.1
OG0000892	ALV10717.1	AAS03613.1
OG0000893	ALV12960.1	AAS03614.1
OG0000894	ALV10718.1	AAS03615.1, AAS06698.1
OG0000895	ALV10719.1	AAS03616.1
OG0000896	ALV10720.1	AAS03617.1
OG0000897	ALV10721.1	AAS03618.1
OG0000898	ALV12961.1	AAS03620.1
OG0000899	ALV10723.1	AAS03621.1
OG0000900	ALV10724.1	AAS03622.1
OG0000901	ALV10725.1	AAS03623.1
OG0000902	ALV10726.1	AAS03624.1
OG0000903	ALV10727.1	AAS03625.1
OG0000904	ALV10730.1	AAS03627.1
OG0000905	ALV10731.1	AAS03628.1
OG0000906	ALV10738.1	AAS03635.1
OG0000907	ALV10739.1	AAS03636.1
OG0000908	ALV10741.1	AAS03114.1, AAS03638.1
OG0000909	ALV10742.1	AAS03639.1
OG0000910	ALV10743.1	AAS03642.1
OG0000911	ALV10744.1	AAS03643.1
OG0000912	ALV12962.1	AAS03652.1
OG0000913	ALV10747.1	AAS03656.1
OG0000914	ALV12965.1	AAS03658.1
OG0000915	ALV10750.1	AAS03668.1
OG0000916	ALV10751.1	AAS03669.1
OG0000917	ALV10752.1	AAS03670.1
OG0000918	ALV10753.1	AAS03671.1
OG0000919	ALV10754.1	AAS03672.1
OG0000920	ALV10757.1	AAS03674.1
OG0000921	ALV10758.1	AAS02654.1, AAS03675.1
OG0000922	ALV10759.1	AAS03676.1
OG0000923	ALV10760.1	AAS03677.1
OG0000924	ALV10762.1	AAS03678.1
OG0000925	ALV10763.1	AAS03679.1
OG0000926	ALV10764.1	AAS03680.1
OG0000927	ALV10765.1	AAS03681.1
OG0000928	ALV10766.1	AAS03682.1
OG0000929	ALV10767.1	AAS03683.1
OG0000930	ALV10768.1	AAS03684.1
OG0000931	ALV10769.1	AAS03685.1
OG0000932	ALV12968.1	AAS03706.1
OG0000933	ALV10790.1	AAS03707.1
OG0000934	ALV10791.1	AAS03708.1, AAS04369.1
OG0000935	ALV10793.1	AAS03710.1, AAS06083.1
OG0000936	ALV10794.1	AAS03712.1
OG0000937	ALV10795.1	AAS03713.1
OG0000938	ALV10798.1	AAS03717.1
OG0000939	ALV10799.1	AAS03718.1
OG0000940	ALV10800.1	AAS03719.1
OG0000941	ALV10801.1	AAS03720.1
OG0000942	ALV10802.1	AAS03721.1
OG0000943	ALV10803.1	AAS03722.1
OG0000944	ALV10804.1	AAS03723.1
OG0000945	ALV10805.1	AAS03724.1, AAS04794.1
OG0000946	ALV10814.1	AAS03728.1
OG0000947	ALV10815.1	AAS03729.1
OG0000948	ALV10816.1	AAS03730.1
OG0000949	ALV10817.1	AAS03731.1
OG0000950	ALV10818.1	AAS03732.1
OG0000951	ALV10849.1	AAS06844.1, AAS03781.1
OG0000952	ALV10859.1	AAS04286.1, AAS03770.1
OG0000953	ALV10876.1	AAS03811.1
OG0000954	ALV10877.1	AAS03818.1
OG0000955	ALV10878.1	AAS03819.1
OG0000956	ALV10886.1	AAS03826.1
OG0000957	ALV10887.1	AAS03827.1
OG0000958	ALV10888.1	AAS03828.1
OG0000959	ALV10889.1	AAS03829.1
OG0000960	ALV10890.1	AAS03830.1
OG0000961	ALV10903.1	AAS03841.1, AAS03654.1
OG0000962	ALV10904.1	AAS03264.1
OG0000963	ALV10907.1	AAS05615.1, AAS03843.1
OG0000964	ALV10909.1	AAS03847.1, AAS03764.1
OG0000965	ALV10911.1	AAS03848.1
OG0000966	ALV10913.1	AAS03851.1
OG0000967	ALV10914.1	AAS03852.1
OG0000968	ALV10917.1	AAS03856.1
OG0000969	ALV10918.1	AAS03857.1
OG0000970	ALV10919.1	AAS03858.1
OG0000971	ALV10920.1	AAS03859.1
OG0000972	ALV10921.1	AAS03860.1
OG0000973	ALV10923.1	AAS03862.1
OG0000974	ALV10927.1	AAS03865.1
OG0000975	ALV10928.1	AAS03866.1
OG0000976	ALV10935.1	AAS03873.1
OG0000977	ALV10936.1	AAS03875.1
OG0000978	ALV10937.1	AAS03876.1
OG0000979	ALV10947.1	AAS03881.1
OG0000980	ALV10951.1	AAS03886.1
OG0000981	ALV10952.1	AAS03887.1
OG0000982	ALV10953.1	AAS03888.1
OG0000983	ALV10956.1	AAS03891.1, AAS04033.1
OG0000984	ALV10958.1	AAS03894.1, AAS03215.1
OG0000985	ALV10962.1	AAS03900.1
OG0000986	ALV10963.1	AAS03902.1
OG0000987	ALV12986.1	AAS03912.1
OG0000988	ALV10970.1	AAS03921.1, AAS03095.1
OG0000989	ALV10973.1	AAS03924.1
OG0000990	ALV10976.1	AAS03928.1
OG0000991	ALV10983.1	AAS03939.1
OG0000992	ALV10988.1	AAS03942.1
OG0000993	ALV10989.1	AAS03945.1
OG0000994	ALV10990.1	AAS03946.1
