Orthogroup	Mbovis	Mavium
OG0000021	ALV10322.1	AAS04962.1, AAS06200.1, AAS06208.1, AAS05065.1, AAS04712.1, AAS02471.1, AAS04707.1, AAS06475.1, AAS03200.1, AAS03000.1, AAS04715.1, AAS04716.1, AAS03998.1
OG0000024	ALV10975.1	AAS03926.1
OG0000024	ALV12672.1	AAS02533.1
OG0000024	ALV09398.1	AAS06081.1
OG0000026	ALV10141.1	AAS03816.1, AAS06737.1, AAS02445.1, AAS06134.1, AAS03747.1, AAS03915.1, AAS04798.1, AAS02543.1, AAS04371.1, AAS04280.1, AAS03201.1
OG0000028	ALV10884.1, ALV10231.1, ALV10375.1	AAS03825.1
OG0000029	ALV12026.1	AAS04855.1, AAS04698.1, AAS04515.1, AAS05091.1, AAS03756.1, AAS02366.1, AAS03700.1
OG0000029	ALV10417.1	AAS04854.1
OG0000030	ALV11788.1, ALV09981.1	AAS04472.1
OG0000031	ALV09428.1	AAS06151.1, AAS02997.1, AAS04717.1, AAS06209.1, AAS04672.1, AAS05064.1, AAS04659.1, AAS03097.1, AAS04505.1, AAS06054.1, AAS04388.1
OG0000032	ALV09817.1	AAS06634.1
OG0000033	ALV09818.1	AAS06635.1
OG0000033	ALV09432.1	AAS04507.1, AAS03077.1, AAS04169.1, AAS02426.1, AAS04432.1
OG0000034	ALV10434.1	AAS04821.1
OG0000035	ALV12686.1	AAS06271.1, AAS04011.1
OG0000035	ALV12688.1	AAS06313.1
OG0000036	ALV12983.1, ALV12984.1, ALV10809.1, ALV10882.1	AAS03823.1
OG0000037	ALV10166.1	AAS06834.1
OG0000038	ALV10547.1	AAS02439.1
OG0000038	ALV09544.1	AAS06331.1
OG0000040	ALV10130.1	AAS04103.1, AAS04554.1, AAS02649.1, AAS05198.1, AAS04840.1, AAS04513.1, AAS04330.1, AAS06169.1, AAS06126.1, AAS03187.1
